Problem,Year,Position,Platform,Location,link
Prime Air Route,2020,Experienced,HackerRank,USA,https://leetcode.com/discuss/interview-question/935671/Amazon-SDE1-or-OA-2020-or-Prime-Air-Route
Amazon Fulfillment Builder,2020,Experienced,HackerRank,USA,https://leetcode.com/discuss/interview-question/935558/Amazon-SDE1-or-OA-2020-or-Amazon-Fulfillment-Builder
Amazon Fresh Promotion,2020,Experienced,SHL/HackerRank,USA,https://leetcode.com/discuss/interview-question/1002811/Amazon-or-OA-20201-or-Fresh-Promotion
Amazon Music Pairs,2020,Experienced,HackerRank,USA/India,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/
Items in Containers,2020,Experienced,SHL/HackerRank,USA,https://leetcode.com/discuss/interview-question/865660/
Largest Item Association,2020,Experienced,SHL,USA,https://leetcode.com/discuss/interview-question/782606/
Turnstile,2020,Experienced,SHL/HackerRank,USA,https://leetcode.com/discuss/interview-question/699973/
Five Star Sellers,2020,Experienced,HackerRank,USA/Canada,https://leetcode.com/discuss/interview-question/983856/Amazon-or-OA-or-Five-Star-Sellers
Beta Testing,2020,Experienced,HackerRank,USA/Canada,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/
Utilization Checks,2020,Experienced,HackerRank,USA/India,https://leetcode.com/discuss/interview-question/376019/
Top K Frequently Mentioned Keywords,2020,Experienced,SHL,USA,https://leetcode.com/discuss/interview-question/542597/
Transaction Logs,2020,Experienced,HackerRank,USA,https://leetcode.com/discuss/interview-question/989768/Amazon-or-OA-2020-or-Transaction-logs
Substrings of Size K with K-1 Distinct Chars,2020,Experienced,SHL/HackerRank,USA,https://leetcode.com/discuss/interview-question/370112/
Number of Islands,2020,Experienced,SHL/HackerRank,USA,https://leetcode.com/problems/number-of-islands/
Most Common Word,2020,Experienced,SHL/HackerRank,USA,https://leetcode.com/problems/most-common-word
Rover Control,2020,Experienced,HackerRank,USA,https://leetcode.com/discuss/interview-question/985703/Amazon-or-OA-or-Rover-Control
Distance Between Nodes in BST,2020,Experienced,SHL,USA/UK,https://leetcode.com/discuss/interview-question/376375/
Robotics Challenge,2020,Experienced,SHL,USA/UK,https://leetcode.com/problems/baseball-game/
K Closest Points to Origin,2020,Experienced,SHL,USA,https://leetcode.com/problems/k-closest-points-to-origin
Shopping Patterns,2020,Experienced,SHL/HackerRank,USA/India,https://leetcode.com/discuss/interview-question/948571/Amazon-or-OA2-or-Shopping-Patterns
